review_id,target_institution_id,target_programme_id,target_institution,target_programme,target_url,country,degree_level,discipline,field_name,resolution_level,final_value,target_scope,donor_institution,donor_programme,donor_value,donor_scope,provider,source_url,evidence_text,raw_document_id,support_count,combined_uncertainty,compatibility_reason
HQA-05519,edinburgh-uk-canary,9e56967c-c215-5e0b-ba38-018d61a6a991,The University of Edinburgh,Computer Science,https://discoveruni.gov.uk/course-details/10007790/UTCMPSIBSCH/Full-time/,UK,bachelor,computer science,delivery_mode,H3,Full time,programme,The University of Edinburgh,Computer Science,Full time,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007790/UTCMPSIBENGH/Full-time/,Study mode Full time,70f4f8ad-d1ff-45f5-88f0-02dc7ddc0d3f,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-05521,edinburgh-uk-canary,9e56967c-c215-5e0b-ba38-018d61a6a991,The University of Edinburgh,Computer Science,https://discoveruni.gov.uk/course-details/10007790/UTCMPSIBSCH/Full-time/,UK,bachelor,computer science,career_outcomes,H3,"{""metric"": ""graduate_perception"", ""percentage"": 90, ""period"": ""15 months after the course"", ""population"": ""Computer science graduates at University of Edinburgh"", ""statement"": ""My current work is meaningful.""}",programme,The University of Edinburgh,Computer Science,"{""metric"": ""graduate_perception"", ""percentage"": 90, ""period"": ""15 months after the course"", ""population"": ""Computer science graduates at University of Edinburgh"", ""statement"": ""My current work is meaningful.""}",programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007790/UTCMPSIBENGH/Full-time/,90% Meaningfulness My current work is meaningful.,70f4f8ad-d1ff-45f5-88f0-02dc7ddc0d3f,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-06423,imperial-uk-canary,c5b5eba6-707a-51a9-b64a-9385389c6bd7,Imperial College London,Mathematics and Computer Science,https://discoveruni.gov.uk/course-details/10003270/GG41/Full-time/,UK,bachelor,computer science,programme_identity,H3,Mathematics and Computer Science,programme,Imperial College London,Mathematics and Computer Science,Mathematics and Computer Science,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10003270/GG14/Full-time/,Mathematics and Computer Science at Imperial College London | Discover Uni Course Details,6c98f57c-2047-49c6-a230-ff71a4282b68,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-06424,imperial-uk-canary,c5b5eba6-707a-51a9-b64a-9385389c6bd7,Imperial College London,Mathematics and Computer Science,https://discoveruni.gov.uk/course-details/10003270/GG41/Full-time/,UK,bachelor,computer science,credential,H3,BEng (Hons),programme,Imperial College London,Mathematics and Computer Science,BEng (Hons),programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10003270/GG14/Full-time/,BEng (Hons) Mathematics and Computer Science Imperial College London,6c98f57c-2047-49c6-a230-ff71a4282b68,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-06429,imperial-uk-canary,c5b5eba6-707a-51a9-b64a-9385389c6bd7,Imperial College London,Mathematics and Computer Science,https://discoveruni.gov.uk/course-details/10003270/GG41/Full-time/,UK,bachelor,computer science,duration,H3,3 year course,programme,Imperial College London,Mathematics and Computer Science,3 year course,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10003270/GG14/Full-time/,Length 3 year course,6c98f57c-2047-49c6-a230-ff71a4282b68,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-06430,imperial-uk-canary,c5b5eba6-707a-51a9-b64a-9385389c6bd7,Imperial College London,Mathematics and Computer Science,https://discoveruni.gov.uk/course-details/10003270/GG41/Full-time/,UK,bachelor,computer science,location,H3,South Kensington,programme,Imperial College London,Mathematics and Computer Science,South Kensington,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10003270/GG14/Full-time/,Location : South Kensington,6c98f57c-2047-49c6-a230-ff71a4282b68,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-06431,imperial-uk-canary,c5b5eba6-707a-51a9-b64a-9385389c6bd7,Imperial College London,Mathematics and Computer Science,https://discoveruni.gov.uk/course-details/10003270/GG41/Full-time/,UK,bachelor,computer science,delivery_mode,H3,Full time,programme,Imperial College London,Mathematics and Computer Science,Full time,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10003270/GG14/Full-time/,Study mode Full time,6c98f57c-2047-49c6-a230-ff71a4282b68,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-07001,tu-delft-nl-canary,d09b3b83-7fe8-5626-bb42-6dd7661c0972,Delft University of Technology,Computer Science,https://onderwijsdata.duo.nl/api/3/action/datastore_search?filters=%7B%22ONDERWIJSBESTUURID%22%3A%22107B605%22%2C%22OPLEIDINGSEENHEIDCODE%22%3A%221001O6612%22%7D&limit=1&resource_id=ffffa7ad-e6a2-4ba7-9fc2-a09df4128555&target=tu-delft-nl-canary-1001O6612,NL,master,computer science,delivery_mode,H3,VOLTIJD,programme,Delft University of Technology,Data Science and Artificial Intelligence Technology,VOLTIJD,programme,duo_rio_ho,https://onderwijsdata.duo.nl/api/3/action/datastore_search?filters=%7B%22ONDERWIJSBESTUURID%22%3A%22107B605%22%2C%22OPLEIDINGSEENHEIDCODE%22%3A%221001O8897%22%7D&limit=1&resource_id=ffffa7ad-e6a2-4ba7-9fc2-a09df4128555,RIO delivery mode: VOLTIJD [source column VORM],d2fef8ad-137d-474a-aef1-054246035367,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-07002,tu-delft-nl-canary,d09b3b83-7fe8-5626-bb42-6dd7661c0972,Delft University of Technology,Computer Science,https://onderwijsdata.duo.nl/api/3/action/datastore_search?filters=%7B%22ONDERWIJSBESTUURID%22%3A%22107B605%22%2C%22OPLEIDINGSEENHEIDCODE%22%3A%221001O6612%22%7D&limit=1&resource_id=ffffa7ad-e6a2-4ba7-9fc2-a09df4128555&target=tu-delft-nl-canary-1001O6612,NL,master,computer science,programme_language,H3,NLD,programme,Delft University of Technology,Data Science and Artificial Intelligence Technology,NLD,programme,duo_rio_ho,https://onderwijsdata.duo.nl/api/3/action/datastore_search?filters=%7B%22ONDERWIJSBESTUURID%22%3A%22107B605%22%2C%22OPLEIDINGSEENHEIDCODE%22%3A%221001O8897%22%7D&limit=1&resource_id=ffffa7ad-e6a2-4ba7-9fc2-a09df4128555,RIO programme language: NLD [source column VOERTAAL],d2fef8ad-137d-474a-aef1-054246035367,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-07031,discover-uk-stage1-020,d0d192c5-ff75-5fdf-8c6c-80e0cc2608c6,University Centre Somerset College Group,"Makeup Artistry, Prosthetic FX and Wig Making",https://discoveruni.gov.uk/en/course-details/10000878/00245991-ba-media-make-FT/Full-time/,UK,bachelor,other,programme_identity,H3,"Makeup Artistry, Prosthetic FX and Wig Making",programme,University Centre Somerset College Group,"Makeup Artistry, Prosthetic FX and Wig Making","Makeup Artistry, Prosthetic FX and Wig Making",programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10000878/00245990-fdeg-media-make-FT/Full-time/,"Makeup Artistry, Prosthetic FX and Wig Making at University Centre Somerset College Group",c720b903-f750-4697-9849-a9d79323e125,1,0.3403,HIERARCHICAL_DONOR_SELECTED
