review_id,institution_name,programme_name,country,degree_level,field_name,extracted_value,value_scope,provider,source_url,evidence_text,system_status,system_confidence_or_reason,review_verdict,review_comment,reviewer,reviewed_at,critical_error
QA-0041,"Institut national supérieur du professorat et de l'éducation Célestin Freinet - site de Nice, Stephen Liégeard",licence mention professorat des écoles,France,Bachelor,credential,licence,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Qualification type: licence [source column FOR type],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
QA-0042,"Institut national supérieur du professorat et de l'éducation Célestin Freinet - site de Nice, Stephen Liégeard",licence mention professorat des écoles,France,Bachelor,duration,3 ans,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Standard cycle duration: 3 ans [source column AF durée cycle standard],ACCEPTED,accepted deterministic catalogue metadata; source column=AF durée cycle standard; exact programme context,,,,,
QA-0043,Institut polytechnique de Paris,Master innovation entreprise societe,France,Master,programme_identity,"master mention innovation, entreprise et société",programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,"Formation label: master mention innovation, entreprise et société [source column Formation (FOR) libellé]",ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
QA-0044,Institut polytechnique de Paris,Master innovation entreprise societe,France,Master,credential,master,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Qualification type: master [source column FOR type],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
QA-0045,Institut polytechnique de Paris,Master innovation entreprise societe,France,Master,learning_outcomes,"qualification type: master; standard cycle duration: 2 ans; study modality: temps plein, cours en présentiel; teaching location: Palaiseau",programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Qualification type: master [source column FOR type],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.60,,,,,
QA-0046,Institut universitaire de technologie de l'Aisne - Campus de Saint-Quentin,"BUT génie chimique, génie des procédés parcours conception des procédés et innovation technologique",France,Bachelor,programme_identity,"BUT génie chimique, génie des procédés parcours conception des procédés et innovation technologique",programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,"Formation label: BUT génie chimique, génie des procédés parcours conception des procédés et innovation technologique",ACCEPTED,accepted; exact external evidence; pipeline confidence=0.95,,,,,
QA-0047,Institut universitaire de technologie de l'Aisne - Campus de Saint-Quentin,"BUT génie chimique, génie des procédés parcours conception des procédés et innovation technologique",France,Bachelor,credential,bachelor universitaire de technologie,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Qualification type: bachelor universitaire de technologie,ACCEPTED,accepted; exact external evidence; pipeline confidence=0.95,,,,,
QA-0048,Institut universitaire de technologie de l'Aisne - Campus de Saint-Quentin,"BUT génie chimique, génie des procédés parcours conception des procédés et innovation technologique",France,Bachelor,duration,3 ans,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Standard cycle duration: 3 ans [source column AF durée cycle standard],ACCEPTED,accepted deterministic catalogue metadata; source column=AF durée cycle standard; exact programme context,,,,,
QA-0049,Sorbonne Universite,Licence mention informatique,France,Bachelor,programme_identity,licence mention informatique,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Formation label: licence mention informatique [source column Formation (FOR) libellé],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
QA-0050,Sorbonne Universite,Licence mention informatique,France,Bachelor,credential,licence,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Qualification type: licence [source column FOR type],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
