programme_id,institution_id,institution_name,programme_name,country,degree_level,discipline,total_priority_fields,direct_field_count,hierarchical_added_field_count,effective_field_count,review_field_count,missing_field_count,completion_before_hierarchy_pct,completion_after_hierarchy_pct
54d0c0c3-f0c0-569a-9d07-61eff2f46256,duo-nl-stage1-016,Stichting 'De Kempel',Datastore Search,NL,,,38,0,0,0,0,38,0.0,0.0
57418cd2-9e28-5de8-9bc6-055f88d3b8bb,kings-uk-canary,King's College London,Computer Science,UK,bachelor,computer science,38,0,7,7,0,31,0.0,18.42
57b33342-6c02-588d-8fe1-070e1414b50e,nyu-us-canary,New York University,NYU Business Analytics (alternate),US,bachelor,engineering,38,0,0,0,1,37,0.0,0.0
58644168-c523-558b-b4e2-52647103bbd0,onisep-fr-stage1-039,IUT de Charleville,BUT gestion administrative et commerciale des organisations parcours management responsable de projet et entrepreneuriat,FR,bachelor,business,38,5,0,5,0,33,13.16,13.16
5899253a-cf94-5a60-ae1a-dd8d5638d45c,discover-uk-stage1-022,Bristol Baptist College,"Theology, Ministry and Mission",UK,bachelor,other,38,5,0,5,0,33,13.16,13.16
59c87f4f-e9fb-59a9-9c0c-ef57d23132d5,onisep-fr-stage1-037,École universitaire de recherche en sciences fondamentales et Ingénierie - Campus Plaine du Var - Écovallée,master mention physique fondamentale et applications,FR,master,other,38,5,0,5,0,33,13.16,13.16
5d6d82c7-4eae-5e59-850c-4fdc44bc1b9e,onisep-fr-stage1-022,"Campus Carlone Lettres, Arts et Sciences humaines",licence mention histoire,FR,bachelor,other,38,5,0,5,0,33,13.16,13.16
5dcb3d22-21b0-523b-b1aa-27093fb8036a,discover-uk-stage1-011,University College Birmingham,Aesthetics,UK,bachelor,other,38,7,0,7,0,31,18.42,18.42
5dea6883-31fe-5808-9ee8-0775b57792ae,onisep-fr-stage1-004,Institut supérieur des sciences et techniques,master mention génie industriel,FR,master,other,38,5,0,5,0,33,13.16,13.16
5e23765b-94cc-5e0d-857d-65ddc3cdcdd4,scorecard-us-stage1-004,The University of Alabama,The University of Alabama Engineering,US,bachelor,engineering,38,0,1,1,0,37,0.0,2.63
5f7e4503-b034-5260-913a-5110ed0982b6,discover-uk-stage1-025,Buckinghamshire New University,Acting for Stage and Screen,UK,bachelor,other,38,3,0,3,0,35,7.89,7.89
5f95f3f8-7afc-52a6-ba5b-e4f49c98267b,discover-uk-stage1-020,University Centre Somerset College Group,"Makeup Artistry, Prosthetic FX and Wig Making",UK,bachelor,other,38,5,0,5,1,32,13.16,13.16
5fb6c708-c086-5214-9871-88a376d13fda,onisep-fr-stage1-016,IUT d'Aix-Marseille - site de Gap,"BUT gestion des entreprises et des administrations parcours gestion comptable, fiscale et financière",FR,bachelor,business,38,5,0,5,0,33,13.16,13.16
606e0701-255f-5733-abe3-20c1bf5690fd,duo-nl-stage1-011,Stichting Aeres Groep,Datastore Search,NL,,,38,0,0,0,0,38,0.0,0.0
60a85ccd-cdd3-574a-a832-723c16ffb70c,duo-nl-stage1-002,Maastricht University,Datastore Search,NL,,,38,0,0,0,0,38,0.0,0.0
60e2e546-beec-559f-8803-ff7d234c1959,discover-uk-stage1-003,All Nations Christian College,Biblical and Intercultural Studies,UK,bachelor,other,38,5,0,5,0,33,13.16,13.16
626e1529-04bc-5ccd-be3e-78268b0a4e35,wageningen-nl-canary,Wageningen University,Business and Consumer Studies,NL,bachelor,other,38,4,0,4,0,34,10.53,10.53
62a162a9-a6a1-57f4-a3b1-eb0e91c275e4,onisep-fr-stage1-033,École universitaire de recherche en droit et science politique - Faculté de droit et science politique - Campus Trotabas,master mention droit public,FR,master,other,38,5,0,5,0,33,13.16,13.16
62a663d6-de90-5325-922d-27656a7c3d3c,ens-paris-saclay-fr-canary,Ecole normale superieure Paris-Saclay,Master mention physique fondamentale et applications,FR,master,other,38,5,0,5,0,33,13.16,13.16
62fbd019-8947-581a-96c3-8440372ae3ca,scorecard-us-stage1-012,University of Colorado Boulder,University of Colorado Boulder Engineering,US,bachelor,engineering,38,0,1,1,0,37,0.0,2.63
63412a30-b38b-5b03-b7ff-4ddfa92300cf,discover-uk-stage1-008,Barking and Dagenham College,Computing for England (Cyber Security) (Barking and Dagenham),UK,bachelor,computer science,38,5,0,5,0,33,13.16,13.16
6344d41a-fdd0-5644-86ac-209f83326370,onisep-fr-stage1-028,École universitaire de recherche arts et humanités - Campus Carlone,master mention langues étrangères appliquées,FR,master,other,38,5,0,5,0,33,13.16,13.16
6351642e-a7f7-5ce7-979e-221780b7ba1b,scorecard-us-stage1-042,University of Missouri-Columbia,University of Missouri-Columbia Computer Science,US,master,computer science,38,0,0,0,1,37,0.0,0.0
637abc6f-9272-554f-9ebe-9edad899b0e6,duo-nl-stage1-017,Stichting Design Academy Eindhoven,Datastore Search,NL,,,38,0,0,0,0,38,0.0,0.0
645ccb28-be3a-5b92-9bc4-1c596e39d8fc,bern-ch-canary,University of Bern,University of Bern Data Science,CH,master,data science,38,0,2,2,0,36,0.0,5.26
64e762bd-c437-5b9a-bfbf-40671329cc90,onisep-fr-stage1-027,IUT Nice Côte d'Azur - Site de Cannes,BUT information-communication parcours communication des organisations,FR,bachelor,computer science,38,5,0,5,0,33,13.16,13.16
660dfaa0-4e84-52bb-862b-5cbcafba06aa,basel-ch-canary,University of Basel,University of Basel Data Science,CH,master,data science,38,0,2,2,0,36,0.0,5.26
67019cef-ee25-5fb6-a35f-3f512e590ab8,duo-nl-stage1-010,Sticht. A'damse Hogeschool voor de Kunsten,Datastore Search,NL,,,38,0,0,0,0,38,0.0,0.0
