programme_id,institution_id,institution_name,programme_name,country,degree_level,discipline,total_priority_fields,direct_field_count,hierarchical_added_field_count,effective_field_count,review_field_count,missing_field_count,completion_before_hierarchy_pct,completion_after_hierarchy_pct
62a162a9-a6a1-57f4-a3b1-eb0e91c275e4,onisep-fr-stage1-033,École universitaire de recherche en droit et science politique - Faculté de droit et science politique - Campus Trotabas,master mention droit public,FR,master,other,38,6,0,6,0,32,15.79,15.79
62a663d6-de90-5325-922d-27656a7c3d3c,ens-paris-saclay-fr-canary,Ecole normale superieure Paris-Saclay,Master mention physique fondamentale et applications,FR,master,other,38,5,0,5,0,33,13.16,13.16
63412a30-b38b-5b03-b7ff-4ddfa92300cf,discover-uk-stage1-008,Barking and Dagenham College,Computing for England (Cyber Security) (Barking and Dagenham),UK,bachelor,computer science,38,6,0,6,0,32,15.79,15.79
6344d41a-fdd0-5644-86ac-209f83326370,onisep-fr-stage1-028,École universitaire de recherche arts et humanités - Campus Carlone,master mention langues étrangères appliquées,FR,master,other,38,6,0,6,0,32,15.79,15.79
64e762bd-c437-5b9a-bfbf-40671329cc90,onisep-fr-stage1-027,IUT Nice Côte d'Azur - Site de Cannes,BUT information-communication parcours communication des organisations,FR,bachelor,computer science,38,5,0,5,0,33,13.16,13.16
67d4335b-a04e-580e-9e0e-cdefa450480a,onisep-fr-stage1-036,École universitaire de recherche en sciences fondamentales et Ingénierie - Campus Sophia Tech,master mention gestion de l'environnement,FR,master,business,38,6,0,6,0,32,15.79,15.79
67ef7389-04ec-5e55-94cc-49456ef74cb3,uef-fi-canary,University of Eastern Finland,Data Engineering,FI,bachelor,computer science,38,8,5,13,0,25,21.05,34.21
68e2924c-c07f-5ac2-8ea9-6bb6e0d21351,discover-uk-stage1-013,Bishop Burton College,Animal Behaviour & Wildlife Conservation,UK,bachelor,other,38,7,2,8,0,30,18.42,21.05
69dddfc8-ee52-57d9-8887-28139c2275d6,kings-uk-canary,King's College London,Computer Science,UK,bachelor,computer science,38,7,1,8,0,30,18.42,21.05
6a7210f2-06be-539a-8480-cf8386a4f915,discover-uk-stage1-023,London South East Colleges,Early Years Professional Leadership,UK,bachelor,other,38,8,3,8,0,30,21.05,21.05
6bd2a8b8-9767-5c0b-9580-2c8fbda3c98b,onisep-fr-stage1-011,IUT Clermont Auvergne - site de Vichy,BUT métiers du multimédia et de l'internet parcours création numérique,FR,bachelor,computer science,38,6,0,6,0,32,15.79,15.79
6ed310cc-38b0-5e8f-992a-1d7ebe481f14,duo-nl-stage1-013,Stichting Avans,Sustainability Transitions (joint degree),NL,master,computer science,38,3,2,5,0,33,7.89,13.16
6fb2e41e-4389-5d23-936f-113aef58afc1,onisep-fr-stage1-005,Institut national supérieur du professorat et de l'éducation - antenne de Laon,master mention enseignement et éducation - professorat des écoles,FR,master,other,38,6,0,6,0,32,15.79,15.79
6fe23143-7fdb-57ea-a7e6-1656c7c6ffa5,onisep-fr-stage1-034,École universitaire de recherche en sciences de la société et de l'environnement - Campus Carlone,master mention ville et environnements urbains,FR,master,other,38,6,0,6,0,32,15.79,15.79
