institution_name,programme_name,country,degree_level,discipline,institution_id,programme_id,programme_identity,credential,duration,location,delivery_mode,programme_language,programme_status,academic_cycle,tuition,tuition_scope,additional_fees,additional_fees_scope,mandatory_fees,application_fee,scholarship,scholarship_amount,funding,funding_amount,funding_eligibility,funding_deadline,ielts_overall,ielts_subscores,toefl,duolingo,standardized_test_requirements,intakes,final_deadline,priority_deadline,international_deadline,rolling_admission,application_url,minimum_degree,minimum_gpa,gpa_scale,subject_prerequisites,required_documents,recommendation_letters,sop_or_essay,portfolio,work_experience,career_outcomes,employment_outcomes,direct_field_count,hierarchical_added_field_count,effective_field_count,missing_field_count,effective_completion_pct,final_source_count,hierarchical_field_count
The University of Manchester,Computer Science,UK,bachelor,computer science,manchester-uk-canary,de38fc20-2235-5c03-b4f0-5d3817f4abcc,BSc (Hons) Computer Science,BSc (Hons),4 year course,Main Campus,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,31,13.16,1,0
The University of Manchester,Data Science,UK,bachelor,data science,manchester-uk-canary,056c787b-cb1e-526e-bb3d-9a731e339a19,BSc (Hons) Computer Science,BSc (Hons),4 year course,Main Campus,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""metric"": ""work_meaningfulness"", ""percentage"": 80, ""period"": ""15 months after graduation"", ""population"": ""students graduating 2022-23""}","{""audience"": null, ""metric"": ""occupation"", ""occupation"": ""Business and public service associate professionals"", ""percentage"": 5, ""period"": ""15 months after the course"", ""population"": ""students graduating 2022-23""}",0,7,7,31,18.42,1,7
UFR Sciences et techniques des activités physiques et sportives - Antenne de Vichy,licence mention sciences et techniques des activités physiques et sportives activité physique adaptée et santé,FR,bachelor,other,onisep-fr-stage1-012,4e617a0f-c536-5347-956b-ba2cf24bc507,licence mention sciences et techniques des activités physiques et sportives activité physique adaptée et santé,licence,3 ans,Vichy,"temps plein, cours en présentiel (1re année à Vichy dans l'Allier, 2e et 3e années à Aubière dans le Puy de Dôme)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
UFR Sciences et techniques des activités physiques et sportives - Antenne de Vichy,licence mention sciences et techniques des activités physiques et sportives éducation et motricité,FR,bachelor,other,onisep-fr-stage1-012,b2d3ccbf-2726-540d-9f02-a41883121b37,licence mention sciences et techniques des activités physiques et sportives éducation et motricité,licence,1 an,Vichy,"temps plein, cours en présentiel (1re année à Vichy dans l'Allier, 2e et 3e années à Aubière dans le Puy de Dôme)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
Universiteit Leiden,Geneeskunde,NL,bachelor,other,leiden-nl-canary,705ee35e-ee7c-5f92-9b2f-326464160035,Geneeskunde,BACHELOR,,,VOLTIJD,NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,34,10.53,1,0
Universiteit Leiden,Statistics and Data Science,NL,master,computer science,leiden-nl-canary,73db1816-bfbf-5cec-b4ea-619146b93fdb,Statistics and Data Science,MASTER,,,VOLTIJD,ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,34,10.53,1,0
Universiteit Utrecht,Computer Science,NL,bachelor,computer science,utrecht-nl-canary,fe10af71-36d5-5b3a-bf01-0cc5ae35cf66,Informatica,BACHELOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,36,5.26,1,0
Universiteit Utrecht,Information Science,NL,bachelor,computer science,utrecht-nl-canary,80d11752-1297-5b81-aecd-cb6ab6bf37d1,Informatiekunde,BACHELOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,36,5.26,1,0
Universiteit van Amsterdam,Cultuurwetenschappen,NL,bachelor,other,uva-nl-canary,f7fd244f-c807-5a05-82dc-58c2e0df2804,Cultuurwetenschappen,BACHELOR,,,VOLTIJD,ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,34,10.53,1,0
Universiteit van Amsterdam,Informatica,NL,bachelor,computer science,uva-nl-canary,2d63a989-f592-52d3-9a35-1cab15b8fafe,Informatica,BACHELOR,,,VOLTIJD,NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,34,10.53,1,0
