institution_name,programme_name,country,degree_level,discipline,institution_id,programme_id,programme_identity,credential,duration,location,delivery_mode,programme_language,programme_status,academic_cycle,tuition,tuition_scope,additional_fees,additional_fees_scope,mandatory_fees,application_fee,scholarship,scholarship_amount,funding,funding_amount,funding_eligibility,funding_deadline,ielts_overall,ielts_subscores,toefl,duolingo,standardized_test_requirements,intakes,final_deadline,priority_deadline,international_deadline,rolling_admission,application_url,minimum_degree,minimum_gpa,gpa_scale,subject_prerequisites,required_documents,recommendation_letters,sop_or_essay,portfolio,work_experience,career_outcomes,employment_outcomes,direct_field_count,hierarchical_added_field_count,effective_field_count,missing_field_count,effective_completion_pct,final_source_count,hierarchical_field_count
CESI école d'ingénieurs - campus de Nice,diplôme d'ingénieur du CESI spécialité informatique,FR,master,computer science,onisep-fr-stage1-025,23a1be45-6364-5f9d-aaaf-2dfa117a3fc9,diplôme d'ingénieur du CESI spécialité informatique,diplôme d'ingénieur,3 ans,Nice,"temps plein, cours en présentiel (3 ans CI informatique)",,,,EUR 8500 / year,programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,32,15.79,1,0
Ecole centrale de Lyon,Master mention chimie et sciences des materiaux,FR,master,other,centrale-lyon-fr-canary,19238524-9803-53d5-ba61-dcbe17c6c55a,master mention chimie et sciences des matériaux,master,1 an,Ecully,"temps plein, cours en présentiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,31,13.16,1,0
Ecole centrale de Lyon,Master mention informatique,FR,master,computer science,centrale-lyon-fr-canary,11ff1bd2-c5f3-5999-b0c4-5f010956c67b,master mention informatique,master,1 an,Ecully,"temps plein, cours en présentiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,32,13.16,1,0
Ecole normale superieure Paris-Saclay,Master mention biologie-sante,FR,master,other,ens-paris-saclay-fr-canary,49412a9b-8bd2-5754-979e-aacdc24e93ad,master mention biologie-santé,master,2 ans,Gif-sur-Yvette,"temps plein, cours en présentiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
Ecole normale superieure Paris-Saclay,Master mention physique fondamentale et applications,FR,master,other,ens-paris-saclay-fr-canary,62a663d6-de90-5325-922d-27656a7c3d3c,master mention physique fondamentale et applications,master,2 ans,Gif-sur-Yvette,"temps plein, cours en présentiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
EURECOM,master mention informatique,FR,master,computer science,onisep-fr-stage1-024,ceec9355-9c45-56cb-a776-d302dd78bb57,master mention informatique,master,2 ans,Biot,"temps plein, cours en présentiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,32,13.16,1,0
EURECOM,master mention réseaux et télécommunication,FR,master,other,onisep-fr-stage1-024,08ea5a7f-063b-5254-9e20-af26223b6208,master mention réseaux et télécommunication,master,2 ans,Biot,"temps plein, cours en présentiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,32,13.16,1,0
Facultes libres de l'Ouest - UCO Nantes,Licence mention information-communication,FR,bachelor,computer science,uco-nantes-fr-canary,150cc360-0583-5ca4-b727-85c3655122d8,licence mention information-communication,licence,3 ans,Rezé,"temps plein, cours en présentiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
Facultes libres de l'Ouest - UCO Nantes,Licence mention science politique,FR,bachelor,other,uco-nantes-fr-canary,bfc45f5d-0a97-5713-983e-d41f43e9de06,licence mention science politique,licence,3 ans,Rezé,"temps plein, cours en présentiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
Grenoble INP - UGA,Master informatique,FR,master,computer science,grenoble-inp-fr-canary,bf308eef-94f1-5ee2-93f5-29797353ff96,master mention informatique,master,2 ans,Saint-Martin-d'Hères,"temps plein, cours en présentiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
Grenoble INP - UGA,Master mathematiques et applications,FR,master,other,grenoble-inp-fr-canary,c6eca011-652e-5337-acaf-ddaeb1183845,master mention mathématiques et applications,master,2 ans,Saint-Martin-d'Hères,"temps plein, cours en présentiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
Institut d'administration des entreprises - Campus Saint-Jean d'Angely,master mention management,FR,master,other,onisep-fr-stage1-017,067b77ac-c8fa-5719-9f3e-3cd6d2318b38,master mention management,master,2 ans,Nice,"temps plein, cours en présentiel (cours du soir possible pour le parcours recherche et conseil en management)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
Institut d'administration des entreprises - Campus Saint-Jean d'Angely,master mention management et commerce international,FR,master,business,onisep-fr-stage1-017,2936099d-411e-5963-8c62-27be8bb17202,master mention management et commerce international,master,2 ans,Nice,"temps plein, cours en présentiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
Institut national des sciences appliquees de Lyon,Bachelor en sciences et ingenierie - genie energetique et environnement,FR,bachelor,other,insa-lyon-fr-canary,9abbec1d-5f50-59ea-9532-f3ed9e3aff10,,,3 ans,Villeurbanne,"temps plein, cours en présentiel (1re année)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,35,7.89,1,0
Institut national des sciences appliquees de Lyon,Master mention IA - intelligence artificielle,FR,master,computer science,insa-lyon-fr-canary,e9ed732d-69bc-5121-918a-1da325af79ef,master mention IA - intelligence artificielle,master,2 ans,Villeurbanne,"temps plein, cours en présentiel",,,,EUR 10000 / year,programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,32,15.79,1,0
Institut national supérieur du professorat et de l'éducation - antenne de Laon,licence mention professorat des écoles,FR,bachelor,other,onisep-fr-stage1-005,81849649-f1a0-5dba-9010-16cfb9609bf3,licence mention professorat des écoles,licence,3 ans,Laon,"temps plein, cours en présentiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
Institut national supérieur du professorat et de l'éducation - antenne de Laon,master mention enseignement et éducation - professorat des écoles,FR,master,other,onisep-fr-stage1-005,6fb2e41e-4389-5d23-936f-113aef58afc1,master mention enseignement et éducation - professorat des écoles,master,2 ans,Laon,"temps plein, cours en présentiel (dispositif contractuel alternant -DCA-)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
